FIPS,Area,Total Population,Deaths per Case Rate,Age-Adjusted Death Rate,Age-Adjusted New Case Rate,Uninsured Rate,White,Black or African American,Hispanic or Latino,American Indian or Alaska Native,Asian,Hawaiian and Other Pacific Islander
41013,"Crook County, Oregon",49476,34.78%,172.8,496.8,,96.89%,1.01%,7.87%,3.27%,1.08%,0.25%
13103,"Effingham County, Georgia",129538,34.77%,175,503.3,,83.42%,15.80%,5.17%,1.23%,1.67%,0.23%
47093,"Knox County, Tennessee",957942,34.77%,162.3,466.8,8.13%,88.02%,10.24%,4.69%,1.03%,3.03%,0.20%
22043,"Grant Parish, Louisiana",44338,34.77%,167.3,481.2,,82.27%,16.50%,5.23%,2.12%,0.78%,0.10%
08115,"Sedgwick County, Colorado",4808,34.76%,119.2,342.9,,96.34%,1.91%,17.26%,2.00%,1.66%,0.29%
48499,"Wood County, Texas",89686,34.74%,158.5,456.2,,92.69%,6.21%,10.72%,1.76%,0.84%,0.13%
23003,"Aroostook County, Maine",134210,34.74%,161.1,463.7,8.90%,96.20%,1.61%,1.46%,2.92%,0.81%,0.09%
39077,"Huron County, Ohio",117130,34.74%,171.8,494.5,,97.75%,2.47%,6.95%,0.93%,0.59%,0.10%
37027,"Caldwell County, North Carolina",161304,34.74%,168.6,485.3,12.69%,93.04%,6.50%,6.14%,1.23%,1.01%,0.17%
28075,"Lauderdale County, Mississippi",145968,34.74%,149.7,430.9,10.05%,54.04%,45.30%,2.37%,0.72%,1.09%,0.12%
21201,"Robertson County, Kentucky",4386,34.74%,192.5,554.1,,98.77%,1.05%,1.69%,1.32%,0.27%,0.05%
05053,"Grant County, Arkansas",35916,34.74%,183.2,527.4,,96.05%,3.34%,3.16%,1.55%,0.68%,0.12%
55081,"Monroe County, Wisconsin",92548,34.73%,162.8,468.7,,95.33%,2.78%,5.10%,2.14%,1.42%,0.21%
06009,"Calaveras County, California",90584,34.72%,141.7,408.1,,94.32%,1.97%,13.35%,4.19%,3.09%,0.55%
54083,"Randolph County, West Virginia",55864,34.72%,168.1,484.2,,97.44%,2.25%,0.97%,0.78%,0.71%,0.07%
41047,"Marion County, Oregon",691840,34.72%,159.8,460.3,8.26%,91.80%,2.64%,27.73%,4.48%,3.78%,1.52%
16011,"Bingham County, Idaho",95984,34.71%,151.1,435.3,,90.82%,0.94%,18.28%,8.42%,1.47%,0.34%
29157,"Perry County, Missouri",37912,34.71%,161.2,464.4,,97.61%,1.13%,2.27%,1.00%,1.22%,0.17%
42047,"Elk County, Pennsylvania",61980,34.71%,172,495.6,,98.84%,0.90%,0.87%,0.53%,0.60%,0.08%
21143,"Lyon County, Kentucky",17360,34.70%,168,484.1,,93.57%,6.11%,2.60%,1.09%,0.71%,0.06%
19193,"Woodbury County, Iowa",211882,34.70%,175.3,505.2,5.56%,88.09%,6.65%,17.94%,4.17%,3.64%,0.75%
31079,"Hall County, Nebraska",125790,34.70%,157.8,454.8,,91.77%,4.35%,29.92%,3.04%,1.82%,0.65%
36097,"Schuyler County, New York",35796,34.69%,186.1,536.4,,97.74%,1.77%,1.89%,0.97%,1.03%,0.11%
01003,"Baldwin County, Alabama",463534,34.69%,158.1,455.7,7.35%,89.25%,9.54%,4.69%,1.64%,1.54%,0.16%
18051,"Gibson County, Indiana",66022,34.69%,157.3,453.4,,96.14%,4.17%,1.90%,0.88%,0.84%,0.14%
31053,"Dodge County, Nebraska",74334,34.69%,179.6,517.7,,95.63%,1.97%,14.77%,2.46%,1.05%,0.46%
19005,"Allamakee County, Iowa",28122,34.69%,148.4,427.8,,96.72%,2.11%,7.64%,1.07%,0.65%,0.34%
13131,"Grady County, Georgia",52472,34.69%,155.5,448.3,,68.26%,30.15%,11.75%,2.02%,0.93%,0.35%
55113,"Sawyer County, Wisconsin",36148,34.69%,171.9,495.6,,81.21%,1.07%,2.82%,19.95%,0.64%,0.04%
53045,"Mason County, Washington",131452,34.68%,171.3,493.9,5.00%,91.31%,2.49%,10.81%,7.21%,2.75%,1.04%
49047,"Uintah County, Utah",71240,34.68%,134.2,387,,90.25%,1.04%,8.50%,9.14%,1.25%,0.64%
21113,"Jessamine County, Kentucky",105982,34.67%,171.7,495.2,,93.65%,5.83%,3.82%,0.91%,1.88%,0.15%
38053,"McKenzie County, North Dakota",29408,34.66%,111.3,321.1,,86.47%,3.16%,10.64%,12.40%,1.34%,0.19%
48053,"Burnet County, Texas",98260,34.66%,152,438.6,,95.49%,2.59%,22.72%,2.05%,1.25%,0.16%
54011,"Cabell County, West Virginia",188700,34.65%,181.2,522.9,9.60%,93.57%,6.46%,1.49%,0.86%,1.69%,0.11%
01089,"Madison County, Alabama",776306,34.64%,152.8,441.1,6.93%,71.32%,26.16%,5.26%,1.77%,3.55%,0.22%
46005,"Beadle County, South Dakota",38298,34.64%,160,461.9,,85.35%,2.80%,11.71%,2.76%,10.75%,0.51%
21033,"Caldwell County, Kentucky",25298,34.64%,168.3,485.9,,93.45%,6.62%,1.82%,0.85%,0.62%,0.06%
22091,"St. Helena Parish, Louisiana",21840,34.63%,173.3,500.4,,46.63%,53.06%,2.13%,1.05%,0.45%,0.07%
16023,"Butte County, Idaho",5148,34.63%,164.4,474.8,,97.71%,0.74%,5.48%,2.37%,0.82%,0.47%
41049,"Morrow County, Oregon",24372,34.62%,146.7,423.7,,95.11%,1.60%,38.22%,3.99%,1.32%,0.50%
50013,"Grand Isle County, Vermont",14586,34.62%,184,531.5,,96.97%,1.52%,1.96%,3.29%,1.07%,0.18%
48323,"Maverick County, Texas",115774,34.62%,144,416,,96.69%,1.00%,95.11%,2.08%,0.79%,0.06%
23031,"York County, Maine",423944,34.61%,167.5,483.9,5.99%,97.06%,1.68%,1.94%,1.13%,1.89%,0.09%
21211,"Shelby County, Kentucky",96130,34.61%,170.3,492,,90.75%,8.81%,9.66%,1.14%,1.57%,0.37%
47089,"Jefferson County, Tennessee",109366,34.61%,169.6,490,,96.57%,2.77%,3.77%,1.18%,0.87%,0.14%
17105,"Livingston County, Illinois",71630,34.61%,180.5,521.5,,94.60%,5.26%,5.00%,0.79%,1.01%,0.08%
48439,"Tarrant County, Texas",4221280,34.61%,150.8,435.7,17.05%,74.45%,19.45%,29.75%,1.65%,6.87%,0.40%
06103,"Tehama County, California",131658,34.61%,160.9,464.9,4.69%,93.51%,1.94%,26.63%,5.60%,2.29%,0.50%
05147,"Woodruff County, Arkansas",12538,34.60%,198.2,572.8,,72.96%,27.40%,1.95%,1.13%,0.45%,0.11%
39011,"Auglaize County, Ohio",92844,34.60%,152.8,441.6,,98.37%,1.34%,1.89%,0.62%,0.86%,0.12%
05015,"Carroll County, Arkansas",56520,34.60%,156.5,452.3,,93.95%,1.47%,15.58%,3.09%,2.54%,1.46%
19181,"Warren County, Iowa",104806,34.60%,158,456.7,,97.74%,1.66%,3.16%,0.75%,1.23%,0.19%
31073,"Gosper County, Nebraska",3786,34.59%,124.6,360.2,,97.62%,1.48%,5.55%,1.37%,0.79%,0.05%
31033,"Cheyenne County, Nebraska",18936,34.59%,146.9,424.7,,96.95%,1.50%,8.29%,2.12%,1.43%,0.18%
19125,"Marion County, Iowa",66828,34.57%,173.6,502.1,,97.26%,1.54%,2.15%,0.71%,1.78%,0.10%
06113,"Yolo County, California",432806,34.56%,140.1,405.4,3.67%,78.91%,4.38%,32.30%,3.34%,18.59%,1.22%
13321,"Worth County, Georgia",41568,34.55%,167.2,483.9,,70.58%,29.00%,2.42%,0.71%,0.96%,0.09%
48467,"Van Zandt County, Texas",119082,34.54%,161.7,468.1,,95.44%,3.70%,12.09%,1.74%,0.70%,0.20%
45073,"Oconee County, South Carolina",157214,34.54%,157.5,456,7.36%,90.92%,8.78%,5.81%,0.95%,1.22%,0.12%
25015,"Hampshire County, Massachusetts",324616,34.54%,143.2,414.6,2.68%,90.15%,4.74%,6.24%,0.88%,6.76%,0.23%
13127,"Glynn County, Georgia",168998,34.53%,156.7,453.8,14.09%,70.69%,27.77%,6.89%,1.13%,2.14%,0.29%
48333,"Mills County, Texas",8912,34.53%,150.3,435.3,,96.77%,1.75%,19.08%,1.95%,0.94%,0.11%
38019,"Cavalier County, North Dakota",7408,34.52%,146,422.9,,97.22%,0.81%,1.84%,2.54%,0.89%,0.05%
37029,"Camden County, North Carolina",20710,34.52%,134.6,389.9,,85.95%,13.10%,3.34%,1.51%,2.65%,0.17%
13263,"Talbot County, Georgia",11466,34.52%,156.5,453.4,,43.59%,55.87%,2.98%,1.41%,0.54%,0.12%
19179,"Wapello County, Iowa",70874,34.52%,185.7,538,,91.77%,4.93%,11.47%,1.40%,2.20%,1.39%
17149,"Pike County, Illinois",29478,34.52%,190.8,552.8,,97.78%,2.01%,1.44%,0.60%,0.46%,0.06%
39049,"Franklin County, Ohio",2647614,34.51%,162.8,471.7,7.70%,69.37%,26.39%,5.97%,1.13%,6.77%,0.16%
55079,"Milwaukee County, Wisconsin",1878978,34.50%,171.2,496.2,7.24%,66.06%,29.67%,16.05%,1.88%,5.58%,0.14%
45063,"Lexington County, South Carolina",587982,34.50%,153.4,444.7,10.54%,80.91%,17.12%,6.42%,1.22%,2.79%,0.19%
26077,"Kalamazoo County, Michigan",523340,34.48%,150.6,436.8,4.87%,84.53%,14.32%,5.42%,1.54%,3.59%,0.17%
29201,"Scott County, Missouri",76118,34.48%,176.9,513.1,,86.99%,13.20%,2.63%,1.09%,0.70%,0.12%
47189,"Wilson County, Tennessee",295474,34.47%,157.2,456,6.48%,89.72%,8.77%,4.88%,1.14%,2.44%,0.18%
55105,"Rock County, Wisconsin",327374,34.47%,165.9,481.3,3.99%,92.54%,7.14%,9.54%,1.22%,1.87%,0.15%
19171,"Tama County, Iowa",34270,34.47%,179.2,519.9,,89.75%,1.83%,11.44%,10.35%,1.06%,0.22%
17015,"Carroll County, Illinois",31404,34.46%,153.6,445.7,,97.74%,1.99%,4.02%,0.86%,0.96%,0.08%
13237,"Putnam County, Georgia",44094,34.46%,165.9,481.4,,72.17%,27.24%,6.28%,0.91%,0.86%,0.31%
42067,"Juniata County, Pennsylvania",47018,34.45%,153,444.1,,98.04%,1.59%,4.16%,0.84%,0.68%,0.09%
19183,"Washington County, Iowa",45130,34.45%,171.9,499,,97.67%,2.01%,7.05%,0.87%,0.99%,0.14%
21145,"McCracken County, Kentucky",135750,34.45%,173.1,502.5,7.97%,87.44%,12.64%,2.78%,0.99%,1.30%,0.19%
18081,"Johnson County, Indiana",323530,34.44%,167.2,485.5,5.71%,92.41%,3.70%,3.82%,0.80%,4.94%,0.15%
31095,"Jefferson County, Nebraska",14480,34.44%,156,453,,98.04%,1.15%,4.96%,1.24%,0.64%,0.10%
41003,"Benton County, Oregon",190368,34.43%,127.6,370.6,4.24%,90.32%,2.17%,8.04%,2.24%,8.93%,0.73%
41071,"Yamhill County, Oregon",215444,34.42%,151.5,440.1,6.80%,94.40%,1.93%,16.39%,3.51%,3.09%,0.60%
37151,"Randolph County, North Carolina",288342,34.42%,174.7,507.5,15.98%,90.24%,7.84%,12.29%,1.86%,1.87%,0.15%
21117,"Kenton County, Kentucky",338128,34.42%,179.5,521.5,4.74%,93.28%,6.50%,3.56%,0.70%,1.79%,0.24%
26145,"Saginaw County, Michigan",380248,34.41%,160.4,466.1,3.70%,78.50%,21.10%,9.01%,1.25%,1.75%,0.14%
13009,"Baldwin County, Georgia",87598,34.41%,166.1,482.7,,55.32%,43.28%,2.50%,0.68%,2.02%,0.15%
42025,"Carbon County, Pennsylvania",129498,34.40%,166,482.5,4.02%,96.43%,3.00%,5.72%,0.84%,0.87%,0.15%
17073,"Henry County, Illinois",98568,34.40%,161.7,470.1,,97.03%,3.00%,6.11%,0.79%,0.77%,0.09%
39045,"Fairfield County, Ohio",317842,34.39%,157,456.5,5.63%,88.26%,10.48%,2.52%,0.94%,2.69%,0.15%
31041,"Custer County, Nebraska",21090,34.39%,139.8,406.5,,98.14%,1.18%,3.58%,1.28%,0.44%,0.06%
54105,"Wirt County, West Virginia",10388,34.39%,172.7,502.2,,98.88%,1.17%,0.85%,0.83%,0.52%,0.08%
39111,"Monroe County, Ohio",26770,34.38%,167,485.7,,98.79%,1.20%,0.72%,1.04%,0.49%,0.04%
46037,"Day County, South Dakota",10898,34.38%,153.3,445.9,,88.73%,0.99%,2.51%,11.43%,0.95%,0.15%
22051,"Jefferson Parish, Louisiana",881562,34.38%,162.5,472.7,10.87%,66.04%,29.49%,15.06%,1.21%,5.10%,0.15%
12019,"Clay County, Florida",436490,34.37%,170.7,496.6,10.00%,82.77%,14.62%,10.70%,1.31%,4.55%,0.38%
04013,"Maricopa County, Arizona",8841136,34.37%,133.3,387.8,11.52%,85.20%,7.93%,31.68%,3.80%,5.99%,0.55%
22055,"Lafayette Parish, Louisiana",483506,34.37%,163.7,476.3,6.45%,70.36%,28.08%,4.66%,0.88%,2.40%,0.11%
39089,"Licking County, Ohio",357038,34.37%,173.9,506,5.69%,92.58%,5.74%,2.21%,1.02%,3.12%,0.12%
05007,"Benton County, Arkansas",568666,34.35%,151.4,440.7,9.21%,90.58%,2.76%,17.32%,3.40%,5.25%,0.90%
37071,"Gaston County, North Carolina",455886,34.35%,173.4,504.8,10.77%,79.04%,19.82%,7.86%,1.29%,2.09%,0.13%
54053,"Mason County, West Virginia",50906,34.35%,174.8,508.9,,98.41%,1.57%,0.74%,0.84%,0.47%,0.09%
19027,"Carroll County, Iowa",41520,34.34%,173.1,504.1,,97.69%,1.97%,3.03%,0.53%,0.82%,0.07%
22015,"Bossier Parish, Louisiana",257492,34.34%,163.3,475.6,10.50%,73.49%,24.85%,6.92%,1.35%,2.80%,0.27%
04021,"Pinal County, Arizona",850528,34.33%,119.7,348.7,9.23%,85.06%,6.86%,31.13%,8.07%,2.88%,0.70%
41069,"Wheeler County, Oregon",2902,34.33%,157.9,460,,96.55%,1.38%,6.13%,4.14%,1.31%,0.55%
48041,"Brazos County, Texas",467698,34.33%,130.3,379.6,13.08%,81.51%,12.26%,26.63%,1.27%,7.03%,0.22%
45019,"Charleston County, South Carolina",816470,34.32%,152.5,444.3,10.62%,71.47%,26.84%,5.39%,0.98%,2.50%,0.17%
10005,"Sussex County, Delaware",474756,34.31%,156.7,456.7,7.86%,84.96%,13.68%,9.49%,1.82%,1.73%,0.29%
08041,"El Paso County, Colorado",1460790,34.31%,141.6,412.7,8.13%,87.71%,9.16%,18.09%,2.83%,5.18%,0.82%
17155,"Putnam County, Illinois",11274,34.31%,136.5,397.9,,98.23%,1.40%,6.16%,0.71%,0.78%,0.11%
26093,"Livingston County, Michigan",387732,34.30%,146.3,426.5,4.24%,97.77%,1.05%,2.67%,1.12%,1.49%,0.10%
21021,"Boyle County, Kentucky",61228,34.29%,177.8,518.5,,90.40%,9.82%,3.46%,0.86%,1.38%,0.12%
13011,"Banks County, Georgia",36070,34.29%,161.6,471.3,,94.95%,3.78%,7.52%,1.52%,1.43%,0.21%
08023,"Costilla County, Colorado",6998,34.28%,97.3,283.8,,88.94%,3.80%,60.87%,7.92%,2.17%,0.43%
17021,"Christian County, Illinois",68064,34.27%,191.9,560,,97.30%,2.29%,1.68%,0.56%,0.92%,0.06%
53059,"Skamania County, Washington",24072,34.26%,119.1,347.6,,95.59%,1.46%,7.09%,3.95%,1.93%,0.56%
29033,"Carroll County, Missouri",16990,34.26%,145.7,425.3,,97.43%,2.75%,1.74%,0.69%,0.41%,0.15%
19119,"Lyon County, Iowa",23868,34.26%,169.3,494.2,,98.43%,0.89%,3.05%,1.06%,0.62%,0.28%
28045,"Hancock County, Mississippi",92106,34.26%,164.7,480.8,,89.48%,9.63%,3.83%,1.69%,1.46%,0.14%
42061,"Huntingdon County, Pennsylvania",88184,34.26%,154.8,451.9,,93.20%,6.43%,2.08%,0.57%,1.10%,0.09%
21203,"Rockcastle County, Kentucky",32074,34.25%,186.1,543.4,,98.90%,0.87%,1.07%,1.08%,0.34%,0.09%
17047,"Edwards County, Illinois",12490,34.25%,137.6,401.8,,98.37%,1.28%,1.27%,0.98%,0.74%,0.03%
55021,"Columbia County, Wisconsin",116980,34.23%,164.6,480.9,,96.30%,2.53%,3.83%,1.38%,1.20%,0.15%
48465,"Val Verde County, Texas",95172,34.23%,143.2,418.4,,95.40%,2.84%,82.62%,1.49%,1.21%,0.29%
48093,"Comanche County, Texas",27188,34.18%,135.5,396.4,,96.59%,1.77%,29.13%,2.20%,0.82%,0.07%
36095,"Schoharie County, New York",59428,34.17%,155.9,456.2,,97.04%,2.49%,3.55%,1.10%,1.21%,0.12%
25003,"Berkshire County, Massachusetts",258052,34.17%,152.7,446.9,1.83%,93.95%,5.27%,5.38%,0.86%,2.31%,0.17%
05143,"Washington County, Arkansas",491742,34.17%,151.7,444,11.19%,88.81%,4.86%,17.32%,3.06%,3.36%,3.13%
12095,"Orange County, Florida",2859816,34.17%,146.3,428.2,13.17%,70.20%,24.55%,32.95%,1.16%,6.72%,0.41%
31097,"Johnson County, Nebraska",10580,34.16%,164.6,481.9,,90.72%,6.86%,10.40%,2.14%,1.38%,0.06%
13111,"Fannin County, Georgia",50638,34.15%,167.1,489.3,,97.80%,1.34%,2.69%,1.28%,0.90%,0.10%
31027,"Cedar County, Nebraska",16760,34.15%,146.6,429.3,,98.44%,0.84%,2.28%,1.03%,0.62%,0.04%
25025,"Suffolk County, Massachusetts",1595872,34.14%,142.8,418.3,4.16%,64.61%,26.97%,23.44%,1.75%,10.48%,0.39%
18005,"Bartholomew County, Indiana",164416,34.13%,152.2,445.9,5.22%,88.37%,3.48%,7.79%,1.02%,8.80%,0.16%
46091,"Marshall County, South Dakota",8612,34.13%,119.5,350.1,,88.16%,1.42%,8.20%,11.91%,0.49%,0.02%
19099,"Jasper County, Iowa",75626,34.13%,156.6,458.8,,96.40%,2.85%,2.89%,0.83%,1.01%,0.12%
55071,"Manitowoc County, Wisconsin",162718,34.13%,166.8,488.7,3.81%,94.92%,1.78%,4.69%,1.33%,3.45%,0.11%
01085,"Lowndes County, Alabama",20622,34.13%,202.5,593.4,,26.23%,73.22%,1.93%,0.68%,0.50%,0.05%
42081,"Lycoming County, Pennsylvania",228376,34.12%,169.7,497.3,6.14%,93.98%,6.64%,2.21%,0.70%,1.07%,0.10%
12087,"Monroe County, Florida",165748,34.12%,143.3,420,19.88%,90.27%,8.16%,25.52%,1.15%,1.96%,0.26%
35049,"Santa Fe County, New Mexico",309646,34.11%,117,343,11.66%,92.45%,1.67%,50.88%,5.66%,2.19%,0.31%
17169,"Schuyler County, Illinois",13804,34.11%,174.2,510.7,,95.03%,4.68%,2.27%,0.55%,0.48%,0.01%
56007,"Carbon County, Wyoming",29074,34.11%,134.7,394.9,,95.39%,1.83%,18.64%,3.25%,1.35%,0.23%
19155,"Pottawattamie County, Iowa",187334,34.11%,171.7,503.4,5.52%,96.15%,2.88%,8.36%,1.51%,1.49%,0.19%
37001,"Alamance County, North Carolina",342830,34.10%,171.4,502.6,10.16%,74.83%,22.99%,13.30%,2.15%,2.35%,0.22%
54039,"Kanawha County, West Virginia",361490,34.09%,173.3,508.3,6.39%,91.02%,9.30%,1.20%,0.83%,1.51%,0.09%
55075,"Marinette County, Wisconsin",83744,34.09%,178,522.2,,97.86%,1.06%,2.19%,1.38%,0.90%,0.10%
13037,"Calhoun County, Georgia",11146,34.09%,135.9,398.7,,36.69%,62.21%,5.29%,0.92%,1.24%,0.38%
19095,"Iowa County, Iowa",33324,34.08%,162.1,475.6,,98.35%,1.38%,3.19%,0.76%,0.73%,0.08%
17199,"Williamson County, Illinois",134306,34.08%,171.9,504.4,7.51%,93.36%,5.95%,2.84%,0.89%,1.68%,0.08%
37199,"Yancey County, North Carolina",36940,34.08%,163.6,480.1,,97.49%,1.64%,5.35%,1.15%,0.48%,0.31%
47105,"Loudon County, Tennessee",109772,34.07%,160.2,470.2,,96.60%,2.16%,9.63%,1.16%,1.15%,0.30%
55065,"Lafayette County, Wisconsin",33222,34.07%,167.1,490.5,,98.20%,0.79%,4.43%,1.20%,0.71%,0.04%
23015,"Lincoln County, Maine",70474,34.06%,152,446.3,,97.96%,1.05%,1.38%,1.18%,1.15%,0.07%
55091,"Pepin County, Wisconsin",14636,34.05%,119.9,352.1,,98.52%,0.83%,2.34%,0.82%,0.70%,0.03%
13149,"Heard County, Georgia",22824,34.05%,167.5,491.9,,89.13%,10.95%,2.87%,1.37%,0.88%,0.09%
13297,"Walton County, Georgia",193346,34.05%,168.3,494.3,13.79%,78.31%,20.32%,5.19%,0.93%,2.17%,0.22%
08085,"Montrose County, Colorado",85358,34.04%,137.5,403.9,,96.24%,1.14%,20.95%,3.24%,1.33%,0.27%
01063,"Greene County, Alabama",15460,34.04%,152,446.5,,19.24%,80.50%,1.76%,0.89%,0.38%,0.01%
22125,"West Feliciana Parish, Louisiana",30620,34.03%,162.4,477.2,,54.36%,45.08%,1.62%,0.62%,0.91%,0.06%
47065,"Hamilton County, Tennessee",732414,34.03%,156.6,460.2,9.68%,77.69%,20.31%,6.12%,1.24%,2.65%,0.25%
47127,"Moore County, Tennessee",12922,34.01%,143.5,421.9,,95.47%,3.13%,1.83%,0.90%,1.89%,0.03%
48331,"Milam County, Texas",49508,34.01%,159.1,467.8,,88.04%,10.46%,27.47%,2.02%,1.07%,0.11%
37157,"Rockingham County, North Carolina",182192,34.01%,172.5,507.2,10.27%,79.27%,20.58%,6.42%,1.30%,1.01%,0.23%
18037,"Dubois County, Indiana",87274,34.01%,144.3,424.3,,97.75%,1.40%,8.69%,0.61%,0.86%,0.19%
08073,"Lincoln County, Colorado",11350,34.00%,145.3,427.3,,91.42%,6.03%,15.24%,2.85%,1.53%,0.30%
48451,"Tom Green County, Texas",240006,34.00%,149,438.2,12.06%,92.53%,5.44%,41.47%,1.82%,2.17%,0.34%
10003,"New Castle County, Delaware",1141438,34.00%,161.3,474.4,5.06%,66.32%,28.63%,10.72%,1.17%,6.73%,0.14%
18157,"Tippecanoe County, Indiana",372502,34.00%,150.1,441.5,5.27%,84.96%,7.24%,8.86%,0.91%,9.23%,0.17%
10001,"Kent County, Delaware",363702,34.00%,172.5,507.4,8.58%,68.44%,30.48%,7.68%,1.74%,3.42%,0.37%
17143,"Peoria County, Illinois",363660,33.98%,170.6,502,6.55%,76.18%,21.19%,5.19%,0.91%,4.85%,0.16%
17185,"Wabash County, Illinois",22722,33.98%,158.8,467.3,,97.52%,1.66%,2.32%,0.76%,1.50%,0.12%
46057,"Hamlin County, South Dakota",12328,33.98%,168.7,496.5,,98.10%,0.75%,5.05%,1.59%,0.67%,0.06%
24043,"Washington County, Maryland",309410,33.98%,162.3,477.7,4.97%,84.68%,15.07%,5.96%,0.87%,2.55%,0.19%
42003,"Allegheny County, Pennsylvania",2501156,33.97%,162.3,477.8,3.43%,81.82%,15.14%,2.34%,0.65%,4.92%,0.09%
42097,"Northumberland County, Pennsylvania",183294,33.96%,172.1,506.7,3.37%,95.96%,3.98%,4.15%,0.68%,0.71%,0.09%
28061,"Jasper County, Mississippi",32734,33.96%,161.5,475.5,,46.03%,53.83%,1.50%,0.69%,0.26%,0.07%
18073,"Jasper County, Indiana",65836,33.96%,163.4,481.1,,98.09%,1.50%,6.28%,0.94%,0.75%,0.09%
31151,"Saline County, Nebraska",28584,33.92%,173,510,,92.90%,2.50%,26.55%,2.12%,3.39%,0.68%
41051,"Multnomah County, Oregon",1630856,33.92%,152.8,450.5,7.38%,83.36%,7.82%,12.23%,3.01%,10.18%,1.15%
55049,"Iowa County, Wisconsin",47418,33.92%,141.5,417.2,,97.82%,1.60%,2.06%,0.87%,1.14%,0.11%
48445,"Terry County, Texas",23662,33.91%,130.5,384.8,,92.85%,5.71%,56.67%,1.97%,0.90%,0.13%
37067,"Forsyth County, North Carolina",765180,33.91%,157.7,465.1,12.10%,68.18%,29.31%,13.59%,1.71%,3.19%,0.26%
16045,"Gem County, Idaho",38246,33.90%,159.1,469.3,,97.29%,0.68%,8.88%,2.44%,1.55%,0.40%
31071,"Garfield County, Nebraska",3626,33.89%,161.1,475.4,,99.50%,0.33%,1.71%,0.28%,0.17%,0.11%
30093,"Silver Bow County, Montana",70266,33.88%,163.4,482.3,,96.03%,0.97%,4.76%,4.09%,1.35%,0.23%
48183,"Gregg County, Texas",248478,33.88%,169.9,501.5,20.08%,76.21%,22.37%,19.49%,1.67%,1.85%,0.24%
41053,"Polk County, Oregon",174866,33.88%,151.8,448.1,4.23%,93.42%,2.11%,14.93%,4.48%,3.59%,0.96%
56025,"Natrona County, Wyoming",159910,33.87%,140.4,414.5,12.75%,96.15%,2.28%,9.03%,2.54%,1.45%,0.24%
08077,"Mesa County, Colorado",311406,33.87%,140.7,415.4,10.14%,96.13%,1.72%,15.09%,2.78%,1.72%,0.31%
30057,"Madison County, Montana",17246,33.86%,124.7,368.3,,98.02%,0.78%,4.46%,2.35%,0.81%,0.12%
29073,"Gasconade County, Missouri",29588,33.86%,161.8,477.9,,98.46%,1.12%,1.74%,1.20%,0.66%,0.11%
15007,"Kauai County, Hawaii",146596,33.85%,126.2,372.8,5.61%,52.63%,1.86%,11.66%,2.73%,51.15%,27.01%
12073,"Leon County, Florida",584396,33.85%,141.8,418.9,8.71%,63.39%,33.63%,6.82%,0.91%,4.48%,0.20%
19087,"Henry County, Iowa",40964,33.85%,162.9,481.3,,94.02%,3.65%,5.21%,0.96%,2.96%,0.21%
13211,"Morgan County, Georgia",40194,33.85%,169.7,501.4,,77.26%,22.28%,3.20%,1.14%,0.89%,0.09%
05023,"Cleburne County, Arkansas",49422,33.84%,177,523,,98.06%,1.06%,2.53%,1.99%,0.65%,0.06%
37107,"Lenoir County, North Carolina",110244,33.84%,172.9,510.9,,56.43%,42.73%,8.11%,1.20%,1.08%,0.32%
13195,"Madison County, Georgia",60240,33.83%,172.3,509.3,,87.68%,10.78%,6.42%,0.98%,2.43%,0.10%
29071,"Franklin County, Missouri",209364,33.83%,166.1,491,8.01%,97.90%,1.64%,1.87%,1.04%,0.85%,0.13%
55059,"Kenosha County, Wisconsin",338302,33.83%,167,493.7,7.76%,89.50%,9.33%,14.06%,1.56%,2.51%,0.23%
45091,"York County, South Carolina",564180,33.82%,156.3,462.2,9.54%,76.39%,20.86%,6.21%,1.51%,3.51%,0.16%
42133,"York County, Pennsylvania",912876,33.81%,161.3,477.1,4.21%,90.56%,8.88%,8.45%,0.88%,2.03%,0.15%
01051,"Elmore County, Alabama",175954,33.81%,173.4,512.9,5.60%,77.27%,22.06%,3.07%,1.12%,1.21%,0.18%
18063,"Hendricks County, Indiana",349576,33.81%,156.9,464.1,5.98%,88.05%,9.41%,4.46%,0.75%,3.95%,0.16%
17151,"Pope County, Illinois",7526,33.80%,153.1,452.9,,93.20%,6.32%,1.91%,1.25%,0.61%,0.11%
37101,"Johnston County, North Carolina",431998,33.80%,165.3,489,11.45%,80.23%,18.80%,14.34%,1.74%,1.49%,0.22%
21035,"Calloway County, Kentucky",74206,33.80%,165.1,488.5,,93.59%,5.13%,2.83%,0.92%,2.18%,0.11%
38077,"Richland County, North Dakota",33058,33.80%,153.4,453.9,,94.72%,1.66%,3.68%,4.45%,1.10%,0.14%
13247,"Rockdale County, Georgia",187140,33.79%,159.4,471.7,16.61%,37.37%,61.35%,10.35%,1.15%,2.39%,0.34%
48489,"Willacy County, Texas",40328,33.79%,126,372.9,,95.53%,3.02%,88.54%,0.87%,1.01%,0.11%
29127,"Marion County, Missouri",57050,33.79%,181.5,537.2,,94.07%,6.54%,1.96%,0.91%,1.03%,0.20%
46125,"Turner County, South Dakota",17346,33.78%,157.7,466.8,,97.92%,1.08%,2.26%,1.67%,0.43%,0.06%
34033,"Salem County, New Jersey",129674,33.77%,181.5,537.4,4.87%,83.03%,16.59%,10.11%,1.12%,1.57%,0.19%
